LAD19CD,TacticalCell,total_requests_last_week,total_requests_previous_week
E07000081,South and the Channel Islands,NA,NA
E07000082,South and the Channel Islands,NA,NA
E07000083,South and the Channel Islands,NA,NA
E07000084,South East,NA,NA
E07000085,South East,NA,NA
E07000086,South East,NA,NA
E07000087,South East,NA,NA
E07000088,South East,NA,NA
E07000089,South East,NA,NA
E07000090,South East,NA,NA
E07000091,South East,NA,NA
E07000092,South East,NA,NA
E07000093,South East,NA,NA
E07000094,South East,NA,NA
E07000095,South East,NA,NA
E07000096,South East,NA,NA
E07000098,South East,NA,NA
E07000099,South East,NA,NA
E07000102,South East,NA,NA
E07000103,South East,NA,NA
E07000105,South East,NA,NA
E07000106,South East,NA,NA
E07000107,South East,NA,NA
E07000108,South East,NA,NA
E07000109,South East,NA,NA
E07000110,South East,NA,NA
E07000111,South East,NA,NA
E07000112,South East,NA,NA
E07000113,South East,NA,NA
E07000114,South East,NA,NA
E07000115,South East,NA,NA
E07000116,South East,NA,NA
E07000117,North,NA,NA
E07000118,North,NA,NA
E07000119,North,NA,NA
E07000120,North,NA,NA
E07000121,North,NA,NA
E07000122,North,NA,NA
E07000123,North,NA,NA
E07000124,North,NA,NA
E07000125,North,NA,NA
E07000126,North,NA,NA
E07000127,North,NA,NA
E07000128,North,NA,NA
E07000129,Midlands and East,NA,NA
E07000130,Midlands and East,NA,NA
E07000131,Midlands and East,NA,NA
E07000132,Midlands and East,NA,NA
E07000133,Midlands and East,NA,NA
E07000134,Midlands and East,NA,NA
E07000135,Midlands and East,NA,NA
E07000136,Midlands and East,NA,NA
E07000137,Midlands and East,NA,NA
E07000138,Midlands and East,NA,NA
E07000139,Midlands and East,NA,NA
E07000140,Midlands and East,NA,NA
E07000141,Midlands and East,NA,NA
E07000142,Midlands and East,NA,NA
E07000143,Midlands and East,NA,NA
E07000144,Midlands and East,NA,NA
E07000145,Midlands and East,NA,NA
E07000146,Midlands and East,NA,NA
E07000147,Midlands and East,NA,NA
E07000148,Midlands and East,NA,NA
E07000149,Midlands and East,NA,NA
E07000150,Midlands and East,NA,NA
E07000151,Midlands and East,NA,NA
E07000152,Midlands and East,NA,NA
E07000153,Midlands and East,NA,NA
E07000154,Midlands and East,NA,NA
E07000155,Midlands and East,NA,NA
E07000156,Midlands and East,NA,NA
E07000164,North,NA,NA
E07000163,North,NA,NA
E07000165,North,NA,NA
E07000166,North,NA,NA
E07000168,North,NA,NA
E07000167,North,NA,NA
E07000169,North,NA,NA
E07000170,Midlands and East,NA,NA
E07000171,Midlands and East,NA,NA
E07000172,Midlands and East,NA,NA
E07000173,Midlands and East,NA,NA
E07000174,Midlands and East,NA,NA
E07000175,Midlands and East,NA,NA
E07000176,Midlands and East,NA,NA
E07000177,South and the Channel Islands,NA,NA
E07000178,South and the Channel Islands,NA,NA
E07000179,South and the Channel Islands,NA,NA
E07000180,South and the Channel Islands,NA,NA
E07000181,South and the Channel Islands,NA,NA
E07000187,South and the Channel Islands,NA,NA
E07000188,South and the Channel Islands,NA,NA
E07000189,South and the Channel Islands,NA,NA
E07000246,South and the Channel Islands,NA,NA
E07000192,Midlands and East,NA,NA
E07000193,Midlands and East,NA,NA
E07000194,Midlands and East,NA,NA
E07000195,Midlands and East,NA,NA
E07000196,Midlands and East,NA,NA
E07000197,Midlands and East,NA,NA
E07000198,Midlands and East,NA,NA
E07000199,Midlands and East,NA,NA
E07000200,Midlands and East,NA,NA
E07000245,Midlands and East,NA,NA
E07000202,Midlands and East,NA,NA
E07000203,Midlands and East,NA,NA
E07000244,Midlands and East,NA,NA
E07000207,South East,NA,NA
E07000208,South East,NA,NA
E07000209,South East,NA,NA
E07000211,South East,NA,NA
E07000210,South East,NA,NA
E07000212,South East,NA,NA
E07000213,South East,NA,NA
E07000214,South East,NA,NA
E07000215,South East,NA,NA
E07000216,South East,NA,NA
E07000217,South East,NA,NA
E07000218,Midlands and East,NA,NA
E07000219,Midlands and East,NA,NA
E07000220,Midlands and East,NA,NA
E07000221,Midlands and East,NA,NA
E07000222,Midlands and East,NA,NA
E07000223,South East,NA,NA
E07000224,South East,NA,NA
E07000225,South East,NA,NA
E07000226,South East,NA,NA
E07000227,South East,NA,NA
E07000228,South East,NA,NA
E07000229,South East,NA,NA
E07000234,Midlands and East,NA,NA
E07000235,Midlands and East,NA,NA
E07000236,Midlands and East,NA,NA
E07000237,Midlands and East,NA,NA
E07000238,Midlands and East,NA,NA
E07000239,Midlands and East,NA,NA
E07000240,South East,NA,NA
E07000241,South East,NA,NA
E07000242,South East,NA,NA
E07000243,South East,NA,NA
E08000001,North,NA,NA
E08000002,North,NA,NA
E08000003,North,NA,NA
E08000004,North,NA,NA
E08000005,North,NA,NA
E08000006,North,NA,NA
E08000007,North,NA,NA
E08000008,North,NA,NA
E08000009,North,NA,NA
E08000010,North,NA,NA
E08000011,North,NA,NA
E08000012,North,NA,NA
E08000013,North,NA,NA
E08000014,North,NA,NA
E08000015,North,NA,NA
E08000016,North,NA,NA
E08000017,North,NA,NA
E08000018,North,NA,NA
E08000019,North,NA,NA
E08000021,North,NA,NA
E08000022,North,NA,NA
E08000023,North,NA,NA
E08000024,North,NA,NA
E08000025,Midlands and East,NA,NA
E08000026,Midlands and East,NA,NA
E08000027,Midlands and East,NA,NA
E08000028,Midlands and East,NA,NA
E08000029,Midlands and East,NA,NA
E08000030,Midlands and East,NA,NA
E08000031,Midlands and East,NA,NA
E08000032,North,NA,NA
E08000033,North,NA,NA
E08000034,North,NA,NA
E08000035,North,NA,NA
E08000036,North,NA,NA
E08000037,North,NA,NA
E09000002,London,NA,NA
E09000001,London,NA,NA
E09000003,London,1,NA
E09000004,London,NA,NA
E09000005,London,NA,NA
E09000006,London,NA,NA
E09000007,London,NA,NA
E09000008,London,NA,NA
E09000009,London,NA,NA
E09000010,London,NA,NA
E09000011,London,NA,NA
E09000012,London,NA,NA
E09000013,London,NA,NA
E09000014,London,NA,NA
E09000015,London,NA,NA
E09000016,London,NA,NA
E09000017,London,NA,NA
E09000018,London,NA,NA
E09000019,London,NA,NA
E09000020,London,NA,NA
E09000021,London,NA,NA
E09000022,London,NA,NA
E09000023,London,NA,NA
E09000024,London,NA,NA
E09000025,London,NA,NA
E09000026,London,NA,NA
E09000027,London,NA,NA
E09000028,London,NA,NA
E09000029,London,NA,NA
E09000030,London,NA,NA
E09000031,London,NA,NA
E09000032,London,NA,NA
E09000033,London,NA,NA
